startup_name,sector,sub_vertical,city,investor,round_type,funding_usd,deal_date,sector_clean,sector_final,sector_confidence,reclassification_layer,original_sector
AgriSense,SaaS,HRTech,Hyderabad,"Blume Ventures, Info Edge",Series A,1604000,09-01-2024,SaaS/Enterprise,SaaS/Enterprise,medium,regex,SaaS
EduMart_176,Enterprise,Security,Ahmedabad,"Peak XV, Tiger Global, Tiger Global Management",Debt,7325000,16-07-2021,SaaS/Enterprise,SaaS/Enterprise,medium,regex,Enterprise
CoreConnect,Retail,Fashion,Delhi,"Info Edge, Prosus Ventures",Bridge,208000,19-10-2020,Ecommerce/D2C,Ecommerce/D2C,medium,regex,Retail
FreshSolutions_178,Retail,Fashion,Pune,"Nexus Venture Partners, Sequoia Capital India",Pre-Series A,864000,28-04-2025,Ecommerce/D2C,Ecommerce/D2C,medium,regex,Retail
EduBox,SaaS,MarTech,Mumbai,Kalaari Capital,Series A,1451000,20-12-2022,SaaS/Enterprise,SaaS/Enterprise,medium,regex,SaaS
QuantumSolutions,E-commerce,Quick Commerce,Delhi,"Bessemer Venture Partners, Nexus Venture Partners",Series A,2518000,03-03-2022,Ecommerce/D2C,Ecommerce/D2C,medium,regex,E-commerce
EduMart,AgriTech,Smart Farming,Kolkata,Info Edge,Seed,76000,04-10-2020,Agritech,Agritech,medium,regex,AgriTech
Ola,E-commerce,D2C,Pune,Elevation Capital,Series B,64925000,31-01-2023,Ecommerce/D2C,EV/Cleantech,high,name_lookup,E-commerce
NextSense,Media,Streaming,Delhi,Nexus Venture Partners,Series C,215209000,07-11-2022,Other,Other,low,fallback,Media
CloudPay,EdTech,Coding Bootcamp,Bengaluru,Mirae Asset,Pre-Series A,181000,18-03-2023,Edtech,Edtech,medium,regex,EdTech
LogiSense,E-commerce,Quick Commerce,Hyderabad,"Kalaari Capital, Mirae Asset",Pre-Series A,457000,08-01-2024,Ecommerce/D2C,Ecommerce/D2C,medium,regex,E-commerce
Groww,HealthTech,Pharmacy,Mumbai,"IFC, SoftBank Vision Fund",Series A,9144000,24-10-2023,Healthtech,Fintech,high,name_lookup,HealthTech
BlueTech,HealthTech,Health Analytics,Noida,Falcon Edge,Angel,26000,23-04-2020,Healthtech,Healthtech,medium,regex,HealthTech
Oyo,HealthTech,Diagnostics,Pune,Peak XV,Angel,24000,06-04-2021,Healthtech,Proptech,high,name_lookup,HealthTech
HealthAnalytics,Logistics,Last Mile,Noida,Omidyar Network,Seed,122000,04-07-2023,Logistics,Logistics,medium,regex,Logistics
Bounce,Mobility,Micro Mobility,Delhi,Blume Ventures,Series A,1287000,04-04-2023,EV/Cleantech,EV/Cleantech,high,name_lookup,Mobility
BlueSpace,AgriTech,Supply Chain,Bengaluru,"Bessemer Venture Partners, Lightspeed India, Matrix Partners India",Seed,1369000,26-04-2025,Agritech,Agritech,medium,regex,AgriTech
SkillRise,FinTech,InsurTech,Noida,Mirae Asset,Seed,1385000,13-05-2025,Fintech,Fintech,medium,regex,FinTech
CoreConnect,E-commerce,Quick Commerce,Delhi,"Lightspeed India, Omidyar Network",Series A,5554000,18-09-2022,Ecommerce/D2C,Ecommerce/D2C,medium,regex,E-commerce
HyperLabs,SaaS,HRTech,Chennai,"A91 Partners, SoftBank Vision Fund",Seed,175000,28-01-2022,SaaS/Enterprise,SaaS/Enterprise,medium,regex,SaaS
InMobi,E-commerce,D2C,Kolkata,Elevation Capital,Seed,181000,17-07-2020,Ecommerce/D2C,Other,high,name_lookup,E-commerce
AeroHub,FoodTech,Cloud Kitchen,Delhi,"Blume Ventures, Kedaara Capital",Series C,142830000,27-03-2025,Foodtech,Foodtech,medium,regex,FoodTech
NextSense,Mobility,EV,Kolkata,Accel,Growth,533548000,15-10-2022,EV/Cleantech,EV/Cleantech,medium,regex,Mobility
DriveFit,EdTech,K12,Ahmedabad,Mirae Asset,Pre-Series A,771000,13-04-2020,Edtech,Edtech,medium,regex,EdTech
CoreSpace,FinTech,Payments,Chennai,"Kalaari Capital, Tiger Global, Y Combinator",Seed,888000,25-06-2021,Fintech,Fintech,medium,regex,FinTech
Udaan,AgriTech,Marketplace,Gurugram,Kalaari Capital,Pre-Series A,439000,14-08-2021,Agritech,Ecommerce/D2C,high,name_lookup,AgriTech
EduBox,Logistics,Fleet Management,Ahmedabad,Kalaari Capital,Seed,68000,19-06-2025,Logistics,Logistics,medium,regex,Logistics
BlueSpace,SaaS,DevTools,Gurugram,Tiger Global,Series A,1549000,02-04-2022,SaaS/Enterprise,SaaS/Enterprise,medium,regex,SaaS
WorkStack,Mobility,EV,Delhi,SoftBank Vision Fund,Series A,11397000,21-11-2022,EV/Cleantech,EV/Cleantech,medium,regex,Mobility
FoodLoop,AgriTech,Marketplace,Hyderabad,"Falcon Edge, Kedaara Capital",Series A,5167000,04-11-2022,Agritech,Agritech,medium,regex,AgriTech
Delhivery,Consumer Electronics,Audio,Pune,"Bessemer Venture Partners, Omidyar Network",Seed,52000,12-08-2020,Other,Logistics,high,name_lookup,Consumer Electronics
GrowthFlow,Logistics,Fleet Management,Ahmedabad,Omidyar Network,Series A,1316000,17-01-2024,Logistics,Logistics,medium,regex,Logistics
Lenskart,Mobility,Micro Mobility,Ahmedabad,Zodius Capital,Series C,120606000,17-02-2022,EV/Cleantech,Ecommerce/D2C,high,name_lookup,Mobility
HomeMart_208,Media,Social,Gurugram,"Nexus Venture Partners, Prosus Ventures",Pre-Seed,20000,04-10-2021,Other,Deeptech,medium,regex,Media
Flipkart,Mobility,Micro Mobility,Kolkata,"Lightspeed India, Nexus Venture Partners, Tiger Global",Growth,76432000,15-02-2024,EV/Cleantech,Ecommerce/D2C,high,name_lookup,Mobility
NeoSense,Consumer Electronics,Smart Home,Chennai,"LCatterton, SoftBank Vision Fund",Seed,379000,20-12-2020,Other,Ecommerce/D2C,low,investor,Consumer Electronics
AgriFit,Enterprise,Automation,Hyderabad,Elevation Capital,Series A,6512000,28-01-2021,SaaS/Enterprise,SaaS/Enterprise,medium,regex,Enterprise
Delhivery,EdTech,UpSkilling,Hyderabad,"A91 Partners, Mirae Asset",Series B,30480000,14-11-2023,Edtech,Logistics,high,name_lookup,EdTech
SkillSolutions,AgriTech,Marketplace,Noida,"Peak XV, Zodius Capital",Pre-Series A,168000,30-06-2025,Agritech,Agritech,medium,regex,AgriTech
GreenConnect,Logistics,Fleet Management,Mumbai,"Lightspeed India, Matrix Partners India, Mirae Asset",Seed,692000,24-06-2022,Logistics,Logistics,medium,regex,Logistics
SkillFlow,Media,Content,Delhi,"Matrix Partners India, Tiger Global",Seed,120000,26-02-2024,Other,Other,low,fallback,Media
Zepto,RealEstate,PropTech,Bengaluru,"Mirae Asset, Nexus Venture Partners, Prosus Ventures",Seed,166000,07-11-2021,Proptech,Ecommerce/D2C,high,name_lookup,RealEstate
NextSense,Consumer Electronics,Wearables,Gurugram,Elevation Capital,Series C,150998000,11-08-2021,Other,Other,low,fallback,Consumer Electronics
HealthWorks,E-commerce,Grocery,Gurugram,LCatterton,Series A,5808000,20-01-2024,Ecommerce/D2C,Ecommerce/D2C,medium,regex,E-commerce
NoBroker,FoodTech,Cloud Kitchen,Bengaluru,"Blume Ventures, Ventures India",Debt,19590000,24-03-2022,Foodtech,Proptech,high,name_lookup,FoodTech
Cars24,FinTech,Payments,Hyderabad,Elevation Capital,Series A,5935000,07-08-2020,Fintech,Ecommerce/D2C,high,name_lookup,FinTech
NimbusLabs,HealthTech,Health Analytics,Hyderabad,Blume Ventures,Seed,407000,18-08-2020,Healthtech,Healthtech,medium,regex,HealthTech
LogiRise,Media,Social,Bengaluru,A91 Partners,Series B,6483000,07-06-2024,Other,Other,low,fallback,Media
CloudLabs,Enterprise,Automation,Chennai,Accel,Series C,54137000,21-11-2022,SaaS/Enterprise,SaaS/Enterprise,medium,regex,Enterprise
Wakefit,HealthTech,Diagnostics,Kolkata,Matrix Partners India,Seed,133000,23-05-2021,Healthtech,Ecommerce/D2C,high,name_lookup,HealthTech
FinSpace,Logistics,Supply Chain,Hyderabad,Matrix Partners India,Series A,1936000,19-03-2023,Logistics,Logistics,medium,regex,Logistics
ShareChat,Media,Social,Bengaluru,Blume Ventures,Series B,74232000,11-08-2022,Other,Other,high,name_lookup,Media
AeroAnalytics,Media,Content,Mumbai,Y Combinator,Series B,14870000,10-04-2025,Other,Other,low,fallback,Media
HomeAnalytics,HealthTech,Health Analytics,Delhi,Kalaari Capital,Series A,11198000,25-05-2023,Healthtech,Healthtech,medium,regex,HealthTech
CoreSpace,Retail,Fashion,Gurugram,"Accel, IFC",Series C,110486000,25-10-2023,Ecommerce/D2C,Ecommerce/D2C,medium,regex,Retail
EduMart,SaaS,B2B SaaS,Ahmedabad,"LCatterton, Lightspeed India",Seed,938000,24-08-2024,SaaS/Enterprise,SaaS/Enterprise,medium,regex,SaaS
WorkPay,Enterprise,Automation,Kolkata,"Accel, Falcon Edge, Omidyar Network",Seed,319000,24-02-2021,SaaS/Enterprise,SaaS/Enterprise,medium,regex,Enterprise
NimbusMart,Mobility,EV,Kolkata,"Prosus Ventures, SoftBank Vision Fund",Series A,4770000,18-02-2023,EV/Cleantech,EV/Cleantech,medium,regex,Mobility
DataAnalytics,Enterprise,Analytics,Gurugram,"SoftBank Vision Fund, Tiger Global",Series A,3795000,02-04-2020,SaaS/Enterprise,SaaS/Enterprise,medium,regex,Enterprise
HealthWorks,E-commerce,Fashion,Bengaluru,Ventures India,Seed,103000,03-01-2021,Ecommerce/D2C,Ecommerce/D2C,medium,regex,E-commerce
QuantumDrive,FoodTech,Food Delivery,Chennai,"IFC, Nexus Venture Partners",Pre-Series A,528000,30-10-2023,Foodtech,Foodtech,medium,regex,FoodTech
Housejoy,HealthTech,Health Analytics,Noida,Zodius Capital,Seed,141000,27-06-2025,Healthtech,Healthtech,medium,regex,HealthTech
DataAnalytics,Consumer Electronics,Smart Home,Noida,Matrix Partners India,Pre-Series A,106000,15-02-2022,Other,Other,low,fallback,Consumer Electronics
FoodSolutions,EdTech,Test Prep,Bengaluru,"IFC, Ventures India",Series C,114859000,08-05-2022,Edtech,Edtech,medium,regex,EdTech
PhonePe,EdTech,K12,Mumbai,"Kedaara Capital, Omidyar Network",Seed,96000,09-03-2020,Edtech,Fintech,high,name_lookup,EdTech
Postman,EdTech,Test Prep,Chennai,Ventures India,Series A,12766000,10-01-2023,Edtech,SaaS/Enterprise,high,name_lookup,EdTech
NimbusMart,Logistics,Last Mile,Ahmedabad,"IFC, Matrix Partners India, Zodius Capital",Seed,1687000,09-05-2023,Logistics,Logistics,medium,regex,Logistics
HomeAnalytics,Logistics,Last Mile,Noida,"Info Edge, LCatterton, Ribbit Capital",Bridge,1461000,06-12-2024,Logistics,Logistics,medium,regex,Logistics
NimbusLabs_243,SaaS,MarTech,Noida,"Nexus Venture Partners, Y Combinator",Seed,196000,02-05-2022,SaaS/Enterprise,SaaS/Enterprise,medium,regex,SaaS
FarmBox,EdTech,UpSkilling,Delhi,A91 Partners,Series C,20855000,16-02-2025,Edtech,Edtech,medium,regex,EdTech
SkillRise,HealthTech,Health Analytics,Gurugram,"Accel, Info Edge, Y Combinator",Seed,1535000,07-11-2021,Healthtech,Healthtech,medium,regex,HealthTech
FinFoods_246,FoodTech,Grocery,Ahmedabad,Blume Ventures,Series A,3188000,24-11-2024,Foodtech,Foodtech,medium,regex,FoodTech
GreenEdge,Enterprise,Security,Hyderabad,Peak XV,Bridge,1769000,01-02-2020,SaaS/Enterprise,SaaS/Enterprise,medium,regex,Enterprise
Housejoy,Media,Content,Gurugram,Kalaari Capital,Series B,72324000,12-12-2023,Other,Other,low,fallback,Media
MediWorks,Retail,Grocery,Chennai,SoftBank Vision Fund,Series A,10074000,21-08-2023,Ecommerce/D2C,Ecommerce/D2C,medium,regex,Retail
ShareChat,Mobility,EV,Kolkata,"SoftBank Vision Fund, Ventures India",Seed,148000,19-01-2024,EV/Cleantech,Other,high,name_lookup,Mobility
CoreFlow,FoodTech,Cloud Kitchen,Ahmedabad,Sequoia Capital India,Growth,138147000,27-02-2024,Foodtech,Foodtech,medium,regex,FoodTech
SkillRise,EdTech,UpSkilling,Gurugram,Mirae Asset,Pre-Series A,710000,02-09-2024,Edtech,Edtech,medium,regex,EdTech
BlueSpace,Enterprise,Security,Kolkata,Blume Ventures,Series A,2359000,09-02-2024,SaaS/Enterprise,SaaS/Enterprise,medium,regex,Enterprise
NeoLabs,Mobility,Micro Mobility,Bengaluru,Peak XV,Series A,1582000,14-09-2024,EV/Cleantech,EV/Cleantech,medium,regex,Mobility
Postman,Retail,E-Retail,Chennai,Tiger Global,Seed,390000,15-07-2023,Ecommerce/D2C,SaaS/Enterprise,high,name_lookup,Retail
WorkPay_256,Mobility,EV,Pune,"LCatterton, Peak XV, Prosus Ventures",Seed,1580000,30-07-2023,EV/Cleantech,EV/Cleantech,medium,regex,Mobility
PhonePe,FinTech,NeoBank,Noida,"Falcon Edge, Kedaara Capital",Pre-Series A,497000,04-02-2020,Fintech,Fintech,high,name_lookup,FinTech
SmartTech_258,Enterprise,Automation,Chennai,Accel,Series C,93643000,06-02-2025,SaaS/Enterprise,SaaS/Enterprise,medium,regex,Enterprise
Wakefit,Mobility,Ride Sharing,Gurugram,Zodius Capital,Seed,72000,14-12-2022,EV/Cleantech,Ecommerce/D2C,high,name_lookup,Mobility
NextStack,E-commerce,D2C,Chennai,"IFC, Lightspeed India, Prosus Ventures",Series A,5288000,13-05-2021,Ecommerce/D2C,Ecommerce/D2C,medium,regex,E-commerce
GreenMart,FoodTech,Food Delivery,Noida,Kedaara Capital,Series A,14601000,28-07-2023,Foodtech,Foodtech,medium,regex,FoodTech
WorkFit,FoodTech,Grocery,Pune,LCatterton,Series A,1461000,23-10-2024,Foodtech,Foodtech,medium,regex,FoodTech
Razorpay,EdTech,K12,Ahmedabad,Prosus Ventures,Series A,4070000,05-04-2020,Edtech,Fintech,high,name_lookup,EdTech
QuantumSolutions,AgriTech,Marketplace,Bengaluru,Sequoia Capital India,Seed,1272000,07-10-2024,Agritech,Agritech,medium,regex,AgriTech
FarmTech,Retail,Fashion,Chennai,A91 Partners,Angel,46000,04-09-2021,Ecommerce/D2C,Ecommerce/D2C,medium,regex,Retail
UrbanDrive,Mobility,EV,Chennai,"Falcon Edge, Kedaara Capital, Tiger Global Management",Series C,132064000,13-10-2020,EV/Cleantech,EV/Cleantech,medium,regex,Mobility
Udaan,E-commerce,Fashion,Gurugram,"Peak XV, Ventures India",Series D,252031000,28-11-2021,Ecommerce/D2C,Ecommerce/D2C,high,name_lookup,E-commerce
AutoMart,SaaS,B2B SaaS,Hyderabad,"A91 Partners, Lightspeed India",Series C,52945000,11-07-2022,SaaS/Enterprise,SaaS/Enterprise,medium,regex,SaaS
UrbanSolutions,RealEstate,Rental Tech,Chennai,Bessemer Venture Partners,Seed,148000,20-06-2023,Proptech,Proptech,medium,regex,RealEstate
Groww,E-commerce,D2C,Delhi,"Blume Ventures, Kalaari Capital, Y Combinator",Pre-Series A,645000,24-05-2024,Ecommerce/D2C,Fintech,high,name_lookup,E-commerce
Bounce,FinTech,WealthTech,Kolkata,Nexus Venture Partners,Pre-Series A,646000,06-07-2021,Fintech,EV/Cleantech,high,name_lookup,FinTech
DataEdge,Mobility,Micro Mobility,Noida,Y Combinator,Pre-Series A,736000,23-02-2020,EV/Cleantech,EV/Cleantech,medium,regex,Mobility
Bounce,AgriTech,Marketplace,Pune,Kalaari Capital,Growth,556750000,26-01-2020,Agritech,EV/Cleantech,high,name_lookup,AgriTech
WorkFit,Mobility,Ride Sharing,Ahmedabad,"Blume Ventures, Matrix Partners India",Series A,3994000,04-11-2023,EV/Cleantech,EV/Cleantech,medium,regex,Mobility
NextStack,E-commerce,Marketplace,Chennai,"Bessemer Venture Partners, Y Combinator",Seed,318000,05-09-2021,Ecommerce/D2C,Ecommerce/D2C,medium,regex,E-commerce
LogiMart,Consumer Electronics,Smart Home,Ahmedabad,Elevation Capital,Seed,950000,07-08-2020,Other,Deeptech,medium,regex,Consumer Electronics
AutoMart,AgriTech,Smart Farming,Pune,"Nexus Venture Partners, SoftBank Vision Fund, Tiger Global Management",Series A,5813000,31-05-2022,Agritech,Agritech,medium,regex,AgriTech
CloudPay,HealthTech,Health Analytics,Pune,"A91 Partners, Matrix Partners India, Mirae Asset",Seed,666000,24-11-2023,Healthtech,Healthtech,medium,regex,HealthTech
UrbanSolutions,Retail,Grocery,Pune,Omidyar Network,Seed,942000,28-02-2023,Ecommerce/D2C,Ecommerce/D2C,medium,regex,Retail
BlueTech,Mobility,Ride Sharing,Kolkata,"Bessemer Venture Partners, Zodius Capital",Bridge,1333000,05-03-2021,EV/Cleantech,EV/Cleantech,medium,regex,Mobility
CRED,Enterprise,Security,Kolkata,Matrix Partners India,Seed,174000,12-09-2021,SaaS/Enterprise,Fintech,high,name_lookup,Enterprise
HyperLoop,Retail,Grocery,Mumbai,"Falcon Edge, Omidyar Network",Series A,2765000,09-05-2023,Ecommerce/D2C,Ecommerce/D2C,medium,regex,Retail
QuantumDrive,Retail,Grocery,Noida,Accel,Series A,1290000,15-02-2025,Ecommerce/D2C,Ecommerce/D2C,medium,regex,Retail
LogiMart,SaaS,DevTools,Ahmedabad,"Ribbit Capital, SoftBank Vision Fund, Tiger Global Management",Pre-Seed,76000,14-08-2023,SaaS/Enterprise,SaaS/Enterprise,medium,regex,SaaS
Paytm,E-commerce,Quick Commerce,Mumbai,"A91 Partners, Falcon Edge, Omidyar Network",Seed,57000,11-11-2022,Ecommerce/D2C,Fintech,high,name_lookup,E-commerce
EduMart,Consumer Electronics,Smart Home,Ahmedabad,Tiger Global Management,Series B,18181000,04-11-2020,Other,Deeptech,medium,regex,Consumer Electronics
AgriHive,FoodTech,Cloud Kitchen,Mumbai,Y Combinator,Series D,174427000,04-02-2024,Foodtech,Foodtech,medium,regex,FoodTech
DataHive,EdTech,Coding Bootcamp,Pune,"Elevation Capital, Kedaara Capital, SoftBank Vision Fund",Series A,2173000,16-06-2022,Edtech,Edtech,medium,regex,EdTech
Porter,FinTech,WealthTech,Mumbai,"Blume Ventures, Matrix Partners India",Series B,25728000,02-12-2020,Fintech,Logistics,high,name_lookup,FinTech
DriveLoop,EdTech,Coding Bootcamp,Delhi,"Kalaari Capital, Ventures India",Seed,56000,08-09-2023,Edtech,Edtech,medium,regex,EdTech
BlueRise,FoodTech,Food Delivery,Bengaluru,Ventures India,Series B,5546000,25-02-2021,Foodtech,Foodtech,medium,regex,FoodTech
Byju's,AgriTech,Supply Chain,Noida,Info Edge,Seed,1040000,29-10-2021,Agritech,Edtech,high,name_lookup,AgriTech
CureFit,RealEstate,Home Services,Noida,Kalaari Capital,Bridge,189000,03-10-2021,Proptech,Healthtech,high,name_lookup,RealEstate
Porter,SaaS,HRTech,Kolkata,"Elevation Capital, Kedaara Capital, Omidyar Network",Series A,1411000,24-07-2024,SaaS/Enterprise,Logistics,high,name_lookup,SaaS
WorkFit,SaaS,B2B SaaS,Gurugram,Kedaara Capital,Seed,343000,09-01-2021,SaaS/Enterprise,SaaS/Enterprise,medium,regex,SaaS
UrbanDrive,HealthTech,Health Analytics,Chennai,"Kedaara Capital, Ribbit Capital",Seed,856000,25-07-2023,Healthtech,Healthtech,medium,regex,HealthTech
NoBroker,Mobility,Ride Sharing,Kolkata,Zodius Capital,Seed,111000,18-01-2021,EV/Cleantech,Proptech,high,name_lookup,Mobility
Udaan,Enterprise,Security,Bengaluru,"Falcon Edge, Tiger Global Management",Series A,5402000,03-02-2021,SaaS/Enterprise,Ecommerce/D2C,high,name_lookup,Enterprise
NimbusLabs,Consumer Electronics,Wearables,Kolkata,"Sequoia Capital India, Ventures India",Series A,1260000,18-06-2020,Other,Other,low,fallback,Consumer Electronics
Cars24,FinTech,WealthTech,Gurugram,"A91 Partners, Bessemer Venture Partners",Series A,1150000,10-12-2020,Fintech,Ecommerce/D2C,high,name_lookup,FinTech
NimbusLabs,E-commerce,Grocery,Mumbai,A91 Partners,Seed,355000,17-01-2023,Ecommerce/D2C,Ecommerce/D2C,medium,regex,E-commerce
Razorpay,Retail,Fashion,Kolkata,Ventures India,Series A,4324000,20-05-2022,Ecommerce/D2C,Fintech,high,name_lookup,Retail
LogiMart,FinTech,InsurTech,Hyderabad,Info Edge,Seed,525000,30-07-2024,Fintech,Fintech,medium,regex,FinTech
Housejoy,Retail,E-Retail,Gurugram,"Kedaara Capital, Ribbit Capital, Y Combinator",Series C,142883000,19-04-2023,Ecommerce/D2C,Ecommerce/D2C,medium,regex,Retail
Dream11,AgriTech,Supply Chain,Gurugram,A91 Partners,Series C,281010000,07-07-2024,Agritech,Other,high,name_lookup,AgriTech
QuantumSolutions,HealthTech,Pharmacy,Hyderabad,"Prosus Ventures, Tiger Global Management",Seed,336000,01-07-2021,Healthtech,Healthtech,medium,regex,HealthTech
Wakefit,HealthTech,Health Analytics,Bengaluru,"IFC, Matrix Partners India, Nexus Venture Partners",Debt,744000,10-11-2024,Healthtech,Ecommerce/D2C,high,name_lookup,HealthTech
AgriSense,Retail,Fashion,Chennai,"Info Edge, Kalaari Capital, Matrix Partners India",Series A,8614000,28-03-2023,Ecommerce/D2C,Ecommerce/D2C,medium,regex,Retail
Bounce,FoodTech,Grocery,Hyderabad,Info Edge,Series B,10595000,01-12-2024,Foodtech,EV/Cleantech,high,name_lookup,FoodTech
Myntra,SaaS,B2B SaaS,Mumbai,"Prosus Ventures, Tiger Global, Y Combinator",Series B,16887000,27-07-2022,SaaS/Enterprise,Ecommerce/D2C,high,name_lookup,SaaS
AutoMart,FoodTech,Cloud Kitchen,Kolkata,SoftBank Vision Fund,Seed,67000,23-08-2024,Foodtech,Foodtech,medium,regex,FoodTech
LogiSense,Consumer Electronics,Wearables,Bengaluru,"Peak XV, Sequoia Capital India",Pre-Seed,21000,06-07-2023,Other,Other,low,fallback,Consumer Electronics
NextSense,FinTech,InsurTech,Gurugram,IFC,Debt,39642000,05-02-2025,Fintech,Fintech,medium,regex,FinTech
Oyo,HealthTech,Pharmacy,Mumbai,Y Combinator,Series B,50768000,27-05-2021,Healthtech,Proptech,high,name_lookup,HealthTech
Dream11,FinTech,InsurTech,Hyderabad,Info Edge,Series B,34436000,26-03-2024,Fintech,Other,high,name_lookup,FinTech
Bounce,Media,Social,Bengaluru,Omidyar Network,Seed,226000,08-06-2020,Other,EV/Cleantech,high,name_lookup,Media
Ola,FinTech,Payments,Pune,"Kedaara Capital, Mirae Asset",Series C,31977000,27-10-2024,Fintech,EV/Cleantech,high,name_lookup,FinTech
HomeFoods,Media,Social,Mumbai,Nexus Venture Partners,Seed,89000,09-12-2024,Other,Other,low,fallback,Media
HyperSpace,RealEstate,PropTech,Mumbai,"Info Edge, Ribbit Capital",Series A,1969000,18-01-2020,Proptech,Proptech,medium,regex,RealEstate
Meesho,RealEstate,Rental Tech,Delhi,"Info Edge, LCatterton, Lightspeed India",Angel,26000,15-06-2023,Proptech,Ecommerce/D2C,high,name_lookup,RealEstate
FinSense,AgriTech,Marketplace,Chennai,Bessemer Venture Partners,Pre-Series A,518000,29-05-2022,Agritech,Agritech,medium,regex,AgriTech
LogiMart,E-commerce,Marketplace,Noida,"Elevation Capital, Peak XV",Series A,5977000,16-01-2024,Ecommerce/D2C,Ecommerce/D2C,medium,regex,E-commerce
GrowthFlow,RealEstate,Home Services,Gurugram,Ventures India,Series A,2134000,09-11-2022,Proptech,Proptech,medium,regex,RealEstate
Urban Company,RealEstate,PropTech,Gurugram,Mirae Asset,Series A,13274000,18-08-2020,Proptech,Proptech,high,name_lookup,RealEstate
Groww,Mobility,Ride Sharing,Pune,"A91 Partners, IFC",Angel,46000,27-09-2020,EV/Cleantech,Fintech,high,name_lookup,Mobility
Mobikwik,Mobility,Micro Mobility,Delhi,Sequoia Capital India,Series C,89743000,08-05-2025,EV/Cleantech,Fintech,high,name_lookup,Mobility
CRED,FinTech,WealthTech,Gurugram,"Falcon Edge, Ribbit Capital",Pre-Seed,82000,03-05-2020,Fintech,Fintech,high,name_lookup,FinTech
AeroAnalytics,FoodTech,Grocery,Chennai,"Elevation Capital, Ribbit Capital",Seed,235000,03-01-2023,Foodtech,Foodtech,medium,regex,FoodTech
FreshTech_329,EdTech,K12,Noida,"Ribbit Capital, Ventures India",Seed,125000,16-04-2023,Edtech,Edtech,medium,regex,EdTech
FreshTech,Media,Social,Bengaluru,"Nexus Venture Partners, Omidyar Network",Seed,186000,08-03-2025,Other,Agritech,low,investor,Media
NimbusMart,Media,Streaming,Delhi,Kedaara Capital,Seed,819000,20-12-2023,Other,Deeptech,medium,regex,Media
BharatPe,Consumer Electronics,Wearables,Noida,"Matrix Partners India, Ventures India, Y Combinator",Series A,1040000,11-08-2024,Other,Fintech,high,name_lookup,Consumer Electronics
NextStack,E-commerce,Quick Commerce,Pune,"Kedaara Capital, Tiger Global",Series C,27387000,11-07-2021,Ecommerce/D2C,Ecommerce/D2C,medium,regex,E-commerce
Dunzo,Consumer Electronics,Wearables,Noida,Blume Ventures,Pre-Series A,111000,20-10-2022,Other,Ecommerce/D2C,high,name_lookup,Consumer Electronics
Zomato,AgriTech,Marketplace,Mumbai,Tiger Global,Seed,58000,08-11-2022,Agritech,Foodtech,high,name_lookup,AgriTech
UrbanStack,Consumer Electronics,Wearables,Chennai,A91 Partners,Angel,65000,01-01-2021,Other,Other,low,fallback,Consumer Electronics
QuantumDrive,EdTech,Coding Bootcamp,Pune,"Falcon Edge, Y Combinator",Seed,670000,08-06-2020,Edtech,Edtech,medium,regex,EdTech
Udaan,HealthTech,Diagnostics,Noida,"Mirae Asset, Tiger Global",Debt,1904000,07-05-2025,Healthtech,Ecommerce/D2C,high,name_lookup,HealthTech
HealthAnalytics,Logistics,Supply Chain,Mumbai,Lightspeed India,Series A,1303000,17-01-2020,Logistics,Logistics,medium,regex,Logistics
Oyo,Media,Streaming,Gurugram,"Bessemer Venture Partners, Tiger Global Management",Series A,3786000,26-04-2023,Other,Proptech,high,name_lookup,Media
HomeMart,FoodTech,Cloud Kitchen,Gurugram,"IFC, Peak XV, Sequoia Capital India",Series A,3605000,26-07-2023,Foodtech,Foodtech,medium,regex,FoodTech
UrbanSolutions,Media,Content,Mumbai,"Mirae Asset, Tiger Global",Seed,95000,02-05-2021,Other,Other,low,fallback,Media
SmartCare,E-commerce,Quick Commerce,Gurugram,"Kedaara Capital, Y Combinator",Angel,18000,30-11-2022,Ecommerce/D2C,Ecommerce/D2C,medium,regex,E-commerce
WorkFit,Mobility,Ride Sharing,Chennai,Info Edge,Seed,217000,08-03-2023,EV/Cleantech,EV/Cleantech,medium,regex,Mobility
LogiSense,Logistics,Supply Chain,Chennai,SoftBank Vision Fund,Series B,27576000,15-02-2024,Logistics,Logistics,medium,regex,Logistics
SkillFlow,EdTech,K12,Ahmedabad,Info Edge,Seed,521000,04-08-2020,Edtech,Edtech,medium,regex,EdTech
HyperLabs,Mobility,EV,Gurugram,IFC,Series A,1131000,06-08-2022,EV/Cleantech,EV/Cleantech,medium,regex,Mobility
Bounce,HealthTech,Pharmacy,Ahmedabad,Nexus Venture Partners,Pre-Seed,47000,07-09-2024,Healthtech,EV/Cleantech,high,name_lookup,HealthTech
LogiMart,FoodTech,Grocery,Bengaluru,Sequoia Capital India,Series B,28352000,16-06-2021,Foodtech,Foodtech,medium,regex,FoodTech
CoreConnect,Mobility,Micro Mobility,Noida,Bessemer Venture Partners,Seed,320000,04-08-2022,EV/Cleantech,EV/Cleantech,medium,regex,Mobility
FinSense,FinTech,Lending,Delhi,Prosus Ventures,Seed,1178000,31-03-2022,Fintech,Fintech,medium,regex,FinTech
WorkFit,Logistics,Last Mile,Bengaluru,"Info Edge, LCatterton, Nexus Venture Partners",Debt,5995000,08-02-2021,Logistics,Logistics,medium,regex,Logistics
