startup_name,sector,sub_vertical,city,investor,round_type,funding_usd,deal_date,deal_year,deal_month,sector_clean,round_clean,city_clean
CoreConnect,Retail,Fashion,Delhi,"Info Edge, Prosus Ventures",Bridge,208000,2020-10-19,2020,10,Ecommerce/D2C,Undisclosed,Delhi/NCR
FreshSolutions_178,Retail,Fashion,Pune,"Nexus Venture Partners, Sequoia Capital India",Pre-Series A,864000,2025-04-28,2025,4,Ecommerce/D2C,Seed/Angel,Pune
EduBox,SaaS,MarTech,Mumbai,Kalaari Capital,Series A,1451000,2022-12-20,2022,12,SaaS/Enterprise,Series A,Mumbai
QuantumSolutions,E-commerce,Quick Commerce,Delhi,"Bessemer Venture Partners, Nexus Venture Partners",Series A,2518000,2022-03-03,2022,3,Ecommerce/D2C,Series A,Delhi/NCR
EduMart,AgriTech,Smart Farming,Kolkata,Info Edge,Seed,76000,2020-10-04,2020,10,Agritech,Seed/Angel,Kolkata
Ola,E-commerce,D2C,Pune,Elevation Capital,Series B,64925000,2023-01-31,2023,1,Ecommerce/D2C,Series B,Pune
NextSense,Media,Streaming,Delhi,Nexus Venture Partners,Series C,215209000,2022-11-07,2022,11,Other,Series C,Delhi/NCR
CloudPay,EdTech,Coding Bootcamp,Bengaluru,Mirae Asset,Pre-Series A,181000,2023-03-18,2023,3,Edtech,Seed/Angel,Bengaluru
LogiSense,E-commerce,Quick Commerce,Hyderabad,"Kalaari Capital, Mirae Asset",Pre-Series A,457000,2024-01-08,2024,1,Ecommerce/D2C,Seed/Angel,Hyderabad
Groww,HealthTech,Pharmacy,Mumbai,"IFC, SoftBank Vision Fund",Series A,9144000,2023-10-24,2023,10,Healthtech,Series A,Mumbai
BlueTech,HealthTech,Health Analytics,Noida,Falcon Edge,Angel,26000,2020-04-23,2020,4,Healthtech,Seed/Angel,Delhi/NCR
Oyo,HealthTech,Diagnostics,Pune,Peak XV,Angel,24000,2021-04-06,2021,4,Healthtech,Seed/Angel,Pune
HealthAnalytics,Logistics,Last Mile,Noida,Omidyar Network,Seed,122000,2023-07-04,2023,7,Logistics,Seed/Angel,Delhi/NCR
Bounce,Mobility,Micro Mobility,Delhi,Blume Ventures,Series A,1287000,2023-04-04,2023,4,EV/Cleantech,Series A,Delhi/NCR
BlueSpace,AgriTech,Supply Chain,Bengaluru,"Bessemer Venture Partners, Lightspeed India, Matrix Partners India",Seed,1369000,2025-04-26,2025,4,Agritech,Seed/Angel,Bengaluru
SkillRise,FinTech,InsurTech,Noida,Mirae Asset,Seed,1385000,2025-05-13,2025,5,Fintech,Seed/Angel,Delhi/NCR
CoreConnect,E-commerce,Quick Commerce,Delhi,"Lightspeed India, Omidyar Network",Series A,5554000,2022-09-18,2022,9,Ecommerce/D2C,Series A,Delhi/NCR
HyperLabs,SaaS,HRTech,Chennai,"A91 Partners, SoftBank Vision Fund",Seed,175000,2022-01-28,2022,1,SaaS/Enterprise,Seed/Angel,Chennai
InMobi,E-commerce,D2C,Kolkata,Elevation Capital,Seed,181000,2020-07-17,2020,7,Ecommerce/D2C,Seed/Angel,Kolkata
AeroHub,FoodTech,Cloud Kitchen,Delhi,"Blume Ventures, Kedaara Capital",Series C,142830000,2025-03-27,2025,3,Foodtech,Series C,Delhi/NCR
NextSense,Mobility,EV,Kolkata,Accel,Growth,533548000,2022-10-15,2022,10,EV/Cleantech,Late Stage,Kolkata
DriveFit,EdTech,K12,Ahmedabad,Mirae Asset,Pre-Series A,771000,2020-04-13,2020,4,Edtech,Seed/Angel,Ahmedabad
CoreSpace,FinTech,Payments,Chennai,"Kalaari Capital, Tiger Global, Y Combinator",Seed,888000,2021-06-25,2021,6,Fintech,Seed/Angel,Chennai
Udaan,AgriTech,Marketplace,Gurugram,Kalaari Capital,Pre-Series A,439000,2021-08-14,2021,8,Agritech,Seed/Angel,Delhi/NCR
EduBox,Logistics,Fleet Management,Ahmedabad,Kalaari Capital,Seed,68000,2025-06-19,2025,6,Logistics,Seed/Angel,Ahmedabad
BlueSpace,SaaS,DevTools,Gurugram,Tiger Global,Series A,1549000,2022-04-02,2022,4,SaaS/Enterprise,Series A,Delhi/NCR
WorkStack,Mobility,EV,Delhi,SoftBank Vision Fund,Series A,11397000,2022-11-21,2022,11,EV/Cleantech,Series A,Delhi/NCR
FoodLoop,AgriTech,Marketplace,Hyderabad,"Falcon Edge, Kedaara Capital",Series A,5167000,2022-11-04,2022,11,Agritech,Series A,Hyderabad
Delhivery,Consumer Electronics,Audio,Pune,"Bessemer Venture Partners, Omidyar Network",Seed,52000,2020-08-12,2020,8,Other,Seed/Angel,Pune
GrowthFlow,Logistics,Fleet Management,Ahmedabad,Omidyar Network,Series A,1316000,2024-01-17,2024,1,Logistics,Series A,Ahmedabad
Lenskart,Mobility,Micro Mobility,Ahmedabad,Zodius Capital,Series C,120606000,2022-02-17,2022,2,EV/Cleantech,Series C,Ahmedabad
HomeMart_208,Media,Social,Gurugram,"Nexus Venture Partners, Prosus Ventures",Pre-Seed,20000,2021-10-04,2021,10,Other,Seed/Angel,Delhi/NCR
Flipkart,Mobility,Micro Mobility,Kolkata,"Lightspeed India, Nexus Venture Partners, Tiger Global",Growth,76432000,2024-02-15,2024,2,EV/Cleantech,Late Stage,Kolkata
NeoSense,Consumer Electronics,Smart Home,Chennai,"LCatterton, SoftBank Vision Fund",Seed,379000,2020-12-20,2020,12,Other,Seed/Angel,Chennai
AgriFit,Enterprise,Automation,Hyderabad,Elevation Capital,Series A,6512000,2021-01-28,2021,1,SaaS/Enterprise,Series A,Hyderabad
Delhivery,EdTech,UpSkilling,Hyderabad,"A91 Partners, Mirae Asset",Series B,30480000,2023-11-14,2023,11,Edtech,Series B,Hyderabad
SkillSolutions,AgriTech,Marketplace,Noida,"Peak XV, Zodius Capital",Pre-Series A,168000,2025-06-30,2025,6,Agritech,Seed/Angel,Delhi/NCR
GreenConnect,Logistics,Fleet Management,Mumbai,"Lightspeed India, Matrix Partners India, Mirae Asset",Seed,692000,2022-06-24,2022,6,Logistics,Seed/Angel,Mumbai
SkillFlow,Media,Content,Delhi,"Matrix Partners India, Tiger Global",Seed,120000,2024-02-26,2024,2,Other,Seed/Angel,Delhi/NCR
Zepto,RealEstate,PropTech,Bengaluru,"Mirae Asset, Nexus Venture Partners, Prosus Ventures",Seed,166000,2021-11-07,2021,11,Proptech,Seed/Angel,Bengaluru
NextSense,Consumer Electronics,Wearables,Gurugram,Elevation Capital,Series C,150998000,2021-08-11,2021,8,Other,Series C,Delhi/NCR
HealthWorks,E-commerce,Grocery,Gurugram,LCatterton,Series A,5808000,2024-01-20,2024,1,Ecommerce/D2C,Series A,Delhi/NCR
NoBroker,FoodTech,Cloud Kitchen,Bengaluru,"Blume Ventures, Ventures India",Debt,19590000,2022-03-24,2022,3,Foodtech,Debt,Bengaluru
Cars24,FinTech,Payments,Hyderabad,Elevation Capital,Series A,5935000,2020-08-07,2020,8,Fintech,Series A,Hyderabad
NimbusLabs,HealthTech,Health Analytics,Hyderabad,Blume Ventures,Seed,407000,2020-08-18,2020,8,Healthtech,Seed/Angel,Hyderabad
LogiRise,Media,Social,Bengaluru,A91 Partners,Series B,6483000,2024-06-07,2024,6,Other,Series B,Bengaluru
CloudLabs,Enterprise,Automation,Chennai,Accel,Series C,54137000,2022-11-21,2022,11,SaaS/Enterprise,Series C,Chennai
Wakefit,HealthTech,Diagnostics,Kolkata,Matrix Partners India,Seed,133000,2021-05-23,2021,5,Healthtech,Seed/Angel,Kolkata
FinSpace,Logistics,Supply Chain,Hyderabad,Matrix Partners India,Series A,1936000,2023-03-19,2023,3,Logistics,Series A,Hyderabad
ShareChat,Media,Social,Bengaluru,Blume Ventures,Series B,74232000,2022-08-11,2022,8,Other,Series B,Bengaluru
AeroAnalytics,Media,Content,Mumbai,Y Combinator,Series B,14870000,2025-04-10,2025,4,Other,Series B,Mumbai
HomeAnalytics,HealthTech,Health Analytics,Delhi,Kalaari Capital,Series A,11198000,2023-05-25,2023,5,Healthtech,Series A,Delhi/NCR
CoreSpace,Retail,Fashion,Gurugram,"Accel, IFC",Series C,110486000,2023-10-25,2023,10,Ecommerce/D2C,Series C,Delhi/NCR
EduMart,SaaS,B2B SaaS,Ahmedabad,"LCatterton, Lightspeed India",Seed,938000,2024-08-24,2024,8,SaaS/Enterprise,Seed/Angel,Ahmedabad
WorkPay,Enterprise,Automation,Kolkata,"Accel, Falcon Edge, Omidyar Network",Seed,319000,2021-02-24,2021,2,SaaS/Enterprise,Seed/Angel,Kolkata
NimbusMart,Mobility,EV,Kolkata,"Prosus Ventures, SoftBank Vision Fund",Series A,4770000,2023-02-18,2023,2,EV/Cleantech,Series A,Kolkata
DataAnalytics,Enterprise,Analytics,Gurugram,"SoftBank Vision Fund, Tiger Global",Series A,3795000,2020-04-02,2020,4,SaaS/Enterprise,Series A,Delhi/NCR
HealthWorks,E-commerce,Fashion,Bengaluru,Ventures India,Seed,103000,2021-01-03,2021,1,Ecommerce/D2C,Seed/Angel,Bengaluru
QuantumDrive,FoodTech,Food Delivery,Chennai,"IFC, Nexus Venture Partners",Pre-Series A,528000,2023-10-30,2023,10,Foodtech,Seed/Angel,Chennai
Housejoy,HealthTech,Health Analytics,Noida,Zodius Capital,Seed,141000,2025-06-27,2025,6,Healthtech,Seed/Angel,Delhi/NCR
DataAnalytics,Consumer Electronics,Smart Home,Noida,Matrix Partners India,Pre-Series A,106000,2022-02-15,2022,2,Other,Seed/Angel,Delhi/NCR
FoodSolutions,EdTech,Test Prep,Bengaluru,"IFC, Ventures India",Series C,114859000,2022-05-08,2022,5,Edtech,Series C,Bengaluru
PhonePe,EdTech,K12,Mumbai,"Kedaara Capital, Omidyar Network",Seed,96000,2020-03-09,2020,3,Edtech,Seed/Angel,Mumbai
Postman,EdTech,Test Prep,Chennai,Ventures India,Series A,12766000,2023-01-10,2023,1,Edtech,Series A,Chennai
NimbusMart,Logistics,Last Mile,Ahmedabad,"IFC, Matrix Partners India, Zodius Capital",Seed,1687000,2023-05-09,2023,5,Logistics,Seed/Angel,Ahmedabad
HomeAnalytics,Logistics,Last Mile,Noida,"Info Edge, LCatterton, Ribbit Capital",Bridge,1461000,2024-12-06,2024,12,Logistics,Undisclosed,Delhi/NCR
NimbusLabs_243,SaaS,MarTech,Noida,"Nexus Venture Partners, Y Combinator",Seed,196000,2022-05-02,2022,5,SaaS/Enterprise,Seed/Angel,Delhi/NCR
FarmBox,EdTech,UpSkilling,Delhi,A91 Partners,Series C,20855000,2025-02-16,2025,2,Edtech,Series C,Delhi/NCR
SkillRise,HealthTech,Health Analytics,Gurugram,"Accel, Info Edge, Y Combinator",Seed,1535000,2021-11-07,2021,11,Healthtech,Seed/Angel,Delhi/NCR
FinFoods_246,FoodTech,Grocery,Ahmedabad,Blume Ventures,Series A,3188000,2024-11-24,2024,11,Foodtech,Series A,Ahmedabad
GreenEdge,Enterprise,Security,Hyderabad,Peak XV,Bridge,1769000,2020-02-01,2020,2,SaaS/Enterprise,Undisclosed,Hyderabad
Housejoy,Media,Content,Gurugram,Kalaari Capital,Series B,72324000,2023-12-12,2023,12,Other,Series B,Delhi/NCR
MediWorks,Retail,Grocery,Chennai,SoftBank Vision Fund,Series A,10074000,2023-08-21,2023,8,Ecommerce/D2C,Series A,Chennai
ShareChat,Mobility,EV,Kolkata,"SoftBank Vision Fund, Ventures India",Seed,148000,2024-01-19,2024,1,EV/Cleantech,Seed/Angel,Kolkata
CoreFlow,FoodTech,Cloud Kitchen,Ahmedabad,Sequoia Capital India,Growth,138147000,2024-02-27,2024,2,Foodtech,Late Stage,Ahmedabad
SkillRise,EdTech,UpSkilling,Gurugram,Mirae Asset,Pre-Series A,710000,2024-09-02,2024,9,Edtech,Seed/Angel,Delhi/NCR
BlueSpace,Enterprise,Security,Kolkata,Blume Ventures,Series A,2359000,2024-02-09,2024,2,SaaS/Enterprise,Series A,Kolkata
NeoLabs,Mobility,Micro Mobility,Bengaluru,Peak XV,Series A,1582000,2024-09-14,2024,9,EV/Cleantech,Series A,Bengaluru
Postman,Retail,E-Retail,Chennai,Tiger Global,Seed,390000,2023-07-15,2023,7,Ecommerce/D2C,Seed/Angel,Chennai
WorkPay_256,Mobility,EV,Pune,"LCatterton, Peak XV, Prosus Ventures",Seed,1580000,2023-07-30,2023,7,EV/Cleantech,Seed/Angel,Pune
PhonePe,FinTech,NeoBank,Noida,"Falcon Edge, Kedaara Capital",Pre-Series A,497000,2020-02-04,2020,2,Fintech,Seed/Angel,Delhi/NCR
SmartTech_258,Enterprise,Automation,Chennai,Accel,Series C,93643000,2025-02-06,2025,2,SaaS/Enterprise,Series C,Chennai
Wakefit,Mobility,Ride Sharing,Gurugram,Zodius Capital,Seed,72000,2022-12-14,2022,12,EV/Cleantech,Seed/Angel,Delhi/NCR
NextStack,E-commerce,D2C,Chennai,"IFC, Lightspeed India, Prosus Ventures",Series A,5288000,2021-05-13,2021,5,Ecommerce/D2C,Series A,Chennai
GreenMart,FoodTech,Food Delivery,Noida,Kedaara Capital,Series A,14601000,2023-07-28,2023,7,Foodtech,Series A,Delhi/NCR
WorkFit,FoodTech,Grocery,Pune,LCatterton,Series A,1461000,2024-10-23,2024,10,Foodtech,Series A,Pune
Razorpay,EdTech,K12,Ahmedabad,Prosus Ventures,Series A,4070000,2020-04-05,2020,4,Edtech,Series A,Ahmedabad
QuantumSolutions,AgriTech,Marketplace,Bengaluru,Sequoia Capital India,Seed,1272000,2024-10-07,2024,10,Agritech,Seed/Angel,Bengaluru
FarmTech,Retail,Fashion,Chennai,A91 Partners,Angel,46000,2021-09-04,2021,9,Ecommerce/D2C,Seed/Angel,Chennai
UrbanDrive,Mobility,EV,Chennai,"Falcon Edge, Kedaara Capital, Tiger Global Management",Series C,132064000,2020-10-13,2020,10,EV/Cleantech,Series C,Chennai
Udaan,E-commerce,Fashion,Gurugram,"Peak XV, Ventures India",Series D,252031000,2021-11-28,2021,11,Ecommerce/D2C,Late Stage,Delhi/NCR
AutoMart,SaaS,B2B SaaS,Hyderabad,"A91 Partners, Lightspeed India",Series C,52945000,2022-07-11,2022,7,SaaS/Enterprise,Series C,Hyderabad
UrbanSolutions,RealEstate,Rental Tech,Chennai,Bessemer Venture Partners,Seed,148000,2023-06-20,2023,6,Proptech,Seed/Angel,Chennai
Groww,E-commerce,D2C,Delhi,"Blume Ventures, Kalaari Capital, Y Combinator",Pre-Series A,645000,2024-05-24,2024,5,Ecommerce/D2C,Seed/Angel,Delhi/NCR
Bounce,FinTech,WealthTech,Kolkata,Nexus Venture Partners,Pre-Series A,646000,2021-07-06,2021,7,Fintech,Seed/Angel,Kolkata
DataEdge,Mobility,Micro Mobility,Noida,Y Combinator,Pre-Series A,736000,2020-02-23,2020,2,EV/Cleantech,Seed/Angel,Delhi/NCR
Bounce,AgriTech,Marketplace,Pune,Kalaari Capital,Growth,556750000,2020-01-26,2020,1,Agritech,Late Stage,Pune
WorkFit,Mobility,Ride Sharing,Ahmedabad,"Blume Ventures, Matrix Partners India",Series A,3994000,2023-11-04,2023,11,EV/Cleantech,Series A,Ahmedabad
NextStack,E-commerce,Marketplace,Chennai,"Bessemer Venture Partners, Y Combinator",Seed,318000,2021-09-05,2021,9,Ecommerce/D2C,Seed/Angel,Chennai
LogiMart,Consumer Electronics,Smart Home,Ahmedabad,Elevation Capital,Seed,950000,2020-08-07,2020,8,Other,Seed/Angel,Ahmedabad
AutoMart,AgriTech,Smart Farming,Pune,"Nexus Venture Partners, SoftBank Vision Fund, Tiger Global Management",Series A,5813000,2022-05-31,2022,5,Agritech,Series A,Pune
CloudPay,HealthTech,Health Analytics,Pune,"A91 Partners, Matrix Partners India, Mirae Asset",Seed,666000,2023-11-24,2023,11,Healthtech,Seed/Angel,Pune
UrbanSolutions,Retail,Grocery,Pune,Omidyar Network,Seed,942000,2023-02-28,2023,2,Ecommerce/D2C,Seed/Angel,Pune
BlueTech,Mobility,Ride Sharing,Kolkata,"Bessemer Venture Partners, Zodius Capital",Bridge,1333000,2021-03-05,2021,3,EV/Cleantech,Undisclosed,Kolkata
CRED,Enterprise,Security,Kolkata,Matrix Partners India,Seed,174000,2021-09-12,2021,9,SaaS/Enterprise,Seed/Angel,Kolkata
HyperLoop,Retail,Grocery,Mumbai,"Falcon Edge, Omidyar Network",Series A,2765000,2023-05-09,2023,5,Ecommerce/D2C,Series A,Mumbai
QuantumDrive,Retail,Grocery,Noida,Accel,Series A,1290000,2025-02-15,2025,2,Ecommerce/D2C,Series A,Delhi/NCR
LogiMart,SaaS,DevTools,Ahmedabad,"Ribbit Capital, SoftBank Vision Fund, Tiger Global Management",Pre-Seed,76000,2023-08-14,2023,8,SaaS/Enterprise,Seed/Angel,Ahmedabad
Paytm,E-commerce,Quick Commerce,Mumbai,"A91 Partners, Falcon Edge, Omidyar Network",Seed,57000,2022-11-11,2022,11,Ecommerce/D2C,Seed/Angel,Mumbai
EduMart,Consumer Electronics,Smart Home,Ahmedabad,Tiger Global Management,Series B,18181000,2020-11-04,2020,11,Other,Series B,Ahmedabad
AgriHive,FoodTech,Cloud Kitchen,Mumbai,Y Combinator,Series D,174427000,2024-02-04,2024,2,Foodtech,Late Stage,Mumbai
DataHive,EdTech,Coding Bootcamp,Pune,"Elevation Capital, Kedaara Capital, SoftBank Vision Fund",Series A,2173000,2022-06-16,2022,6,Edtech,Series A,Pune
Porter,FinTech,WealthTech,Mumbai,"Blume Ventures, Matrix Partners India",Series B,25728000,2020-12-02,2020,12,Fintech,Series B,Mumbai
DriveLoop,EdTech,Coding Bootcamp,Delhi,"Kalaari Capital, Ventures India",Seed,56000,2023-09-08,2023,9,Edtech,Seed/Angel,Delhi/NCR
BlueRise,FoodTech,Food Delivery,Bengaluru,Ventures India,Series B,5546000,2021-02-25,2021,2,Foodtech,Series B,Bengaluru
Byju's,AgriTech,Supply Chain,Noida,Info Edge,Seed,1040000,2021-10-29,2021,10,Agritech,Seed/Angel,Delhi/NCR
CureFit,RealEstate,Home Services,Noida,Kalaari Capital,Bridge,189000,2021-10-03,2021,10,Proptech,Undisclosed,Delhi/NCR
Porter,SaaS,HRTech,Kolkata,"Elevation Capital, Kedaara Capital, Omidyar Network",Series A,1411000,2024-07-24,2024,7,SaaS/Enterprise,Series A,Kolkata
WorkFit,SaaS,B2B SaaS,Gurugram,Kedaara Capital,Seed,343000,2021-01-09,2021,1,SaaS/Enterprise,Seed/Angel,Delhi/NCR
UrbanDrive,HealthTech,Health Analytics,Chennai,"Kedaara Capital, Ribbit Capital",Seed,856000,2023-07-25,2023,7,Healthtech,Seed/Angel,Chennai
NoBroker,Mobility,Ride Sharing,Kolkata,Zodius Capital,Seed,111000,2021-01-18,2021,1,EV/Cleantech,Seed/Angel,Kolkata
Udaan,Enterprise,Security,Bengaluru,"Falcon Edge, Tiger Global Management",Series A,5402000,2021-02-03,2021,2,SaaS/Enterprise,Series A,Bengaluru
NimbusLabs,Consumer Electronics,Wearables,Kolkata,"Sequoia Capital India, Ventures India",Series A,1260000,2020-06-18,2020,6,Other,Series A,Kolkata
Cars24,FinTech,WealthTech,Gurugram,"A91 Partners, Bessemer Venture Partners",Series A,1150000,2020-12-10,2020,12,Fintech,Series A,Delhi/NCR
NimbusLabs,E-commerce,Grocery,Mumbai,A91 Partners,Seed,355000,2023-01-17,2023,1,Ecommerce/D2C,Seed/Angel,Mumbai
Razorpay,Retail,Fashion,Kolkata,Ventures India,Series A,4324000,2022-05-20,2022,5,Ecommerce/D2C,Series A,Kolkata
LogiMart,FinTech,InsurTech,Hyderabad,Info Edge,Seed,525000,2024-07-30,2024,7,Fintech,Seed/Angel,Hyderabad
Housejoy,Retail,E-Retail,Gurugram,"Kedaara Capital, Ribbit Capital, Y Combinator",Series C,142883000,2023-04-19,2023,4,Ecommerce/D2C,Series C,Delhi/NCR
Dream11,AgriTech,Supply Chain,Gurugram,A91 Partners,Series C,281010000,2024-07-07,2024,7,Agritech,Series C,Delhi/NCR
QuantumSolutions,HealthTech,Pharmacy,Hyderabad,"Prosus Ventures, Tiger Global Management",Seed,336000,2021-07-01,2021,7,Healthtech,Seed/Angel,Hyderabad
Wakefit,HealthTech,Health Analytics,Bengaluru,"IFC, Matrix Partners India, Nexus Venture Partners",Debt,744000,2024-11-10,2024,11,Healthtech,Debt,Bengaluru
AgriSense,Retail,Fashion,Chennai,"Info Edge, Kalaari Capital, Matrix Partners India",Series A,8614000,2023-03-28,2023,3,Ecommerce/D2C,Series A,Chennai
Bounce,FoodTech,Grocery,Hyderabad,Info Edge,Series B,10595000,2024-12-01,2024,12,Foodtech,Series B,Hyderabad
Myntra,SaaS,B2B SaaS,Mumbai,"Prosus Ventures, Tiger Global, Y Combinator",Series B,16887000,2022-07-27,2022,7,SaaS/Enterprise,Series B,Mumbai
AutoMart,FoodTech,Cloud Kitchen,Kolkata,SoftBank Vision Fund,Seed,67000,2024-08-23,2024,8,Foodtech,Seed/Angel,Kolkata
LogiSense,Consumer Electronics,Wearables,Bengaluru,"Peak XV, Sequoia Capital India",Pre-Seed,21000,2023-07-06,2023,7,Other,Seed/Angel,Bengaluru
NextSense,FinTech,InsurTech,Gurugram,IFC,Debt,39642000,2025-02-05,2025,2,Fintech,Debt,Delhi/NCR
Oyo,HealthTech,Pharmacy,Mumbai,Y Combinator,Series B,50768000,2021-05-27,2021,5,Healthtech,Series B,Mumbai
Dream11,FinTech,InsurTech,Hyderabad,Info Edge,Series B,34436000,2024-03-26,2024,3,Fintech,Series B,Hyderabad
Bounce,Media,Social,Bengaluru,Omidyar Network,Seed,226000,2020-06-08,2020,6,Other,Seed/Angel,Bengaluru
Ola,FinTech,Payments,Pune,"Kedaara Capital, Mirae Asset",Series C,31977000,2024-10-27,2024,10,Fintech,Series C,Pune
HomeFoods,Media,Social,Mumbai,Nexus Venture Partners,Seed,89000,2024-12-09,2024,12,Other,Seed/Angel,Mumbai
HyperSpace,RealEstate,PropTech,Mumbai,"Info Edge, Ribbit Capital",Series A,1969000,2020-01-18,2020,1,Proptech,Series A,Mumbai
Meesho,RealEstate,Rental Tech,Delhi,"Info Edge, LCatterton, Lightspeed India",Angel,26000,2023-06-15,2023,6,Proptech,Seed/Angel,Delhi/NCR
FinSense,AgriTech,Marketplace,Chennai,Bessemer Venture Partners,Pre-Series A,518000,2022-05-29,2022,5,Agritech,Seed/Angel,Chennai
LogiMart,E-commerce,Marketplace,Noida,"Elevation Capital, Peak XV",Series A,5977000,2024-01-16,2024,1,Ecommerce/D2C,Series A,Delhi/NCR
GrowthFlow,RealEstate,Home Services,Gurugram,Ventures India,Series A,2134000,2022-11-09,2022,11,Proptech,Series A,Delhi/NCR
Urban Company,RealEstate,PropTech,Gurugram,Mirae Asset,Series A,13274000,2020-08-18,2020,8,Proptech,Series A,Delhi/NCR
Groww,Mobility,Ride Sharing,Pune,"A91 Partners, IFC",Angel,46000,2020-09-27,2020,9,EV/Cleantech,Seed/Angel,Pune
Mobikwik,Mobility,Micro Mobility,Delhi,Sequoia Capital India,Series C,89743000,2025-05-08,2025,5,EV/Cleantech,Series C,Delhi/NCR
CRED,FinTech,WealthTech,Gurugram,"Falcon Edge, Ribbit Capital",Pre-Seed,82000,2020-05-03,2020,5,Fintech,Seed/Angel,Delhi/NCR
AeroAnalytics,FoodTech,Grocery,Chennai,"Elevation Capital, Ribbit Capital",Seed,235000,2023-01-03,2023,1,Foodtech,Seed/Angel,Chennai
FreshTech_329,EdTech,K12,Noida,"Ribbit Capital, Ventures India",Seed,125000,2023-04-16,2023,4,Edtech,Seed/Angel,Delhi/NCR
FreshTech,Media,Social,Bengaluru,"Nexus Venture Partners, Omidyar Network",Seed,186000,2025-03-08,2025,3,Other,Seed/Angel,Bengaluru
NimbusMart,Media,Streaming,Delhi,Kedaara Capital,Seed,819000,2023-12-20,2023,12,Other,Seed/Angel,Delhi/NCR
BharatPe,Consumer Electronics,Wearables,Noida,"Matrix Partners India, Ventures India, Y Combinator",Series A,1040000,2024-08-11,2024,8,Other,Series A,Delhi/NCR
NextStack,E-commerce,Quick Commerce,Pune,"Kedaara Capital, Tiger Global",Series C,27387000,2021-07-11,2021,7,Ecommerce/D2C,Series C,Pune
Dunzo,Consumer Electronics,Wearables,Noida,Blume Ventures,Pre-Series A,111000,2022-10-20,2022,10,Other,Seed/Angel,Delhi/NCR
Zomato,AgriTech,Marketplace,Mumbai,Tiger Global,Seed,58000,2022-11-08,2022,11,Agritech,Seed/Angel,Mumbai
UrbanStack,Consumer Electronics,Wearables,Chennai,A91 Partners,Angel,65000,2021-01-01,2021,1,Other,Seed/Angel,Chennai
QuantumDrive,EdTech,Coding Bootcamp,Pune,"Falcon Edge, Y Combinator",Seed,670000,2020-06-08,2020,6,Edtech,Seed/Angel,Pune
Udaan,HealthTech,Diagnostics,Noida,"Mirae Asset, Tiger Global",Debt,1904000,2025-05-07,2025,5,Healthtech,Debt,Delhi/NCR
HealthAnalytics,Logistics,Supply Chain,Mumbai,Lightspeed India,Series A,1303000,2020-01-17,2020,1,Logistics,Series A,Mumbai
Oyo,Media,Streaming,Gurugram,"Bessemer Venture Partners, Tiger Global Management",Series A,3786000,2023-04-26,2023,4,Other,Series A,Delhi/NCR
HomeMart,FoodTech,Cloud Kitchen,Gurugram,"IFC, Peak XV, Sequoia Capital India",Series A,3605000,2023-07-26,2023,7,Foodtech,Series A,Delhi/NCR
UrbanSolutions,Media,Content,Mumbai,"Mirae Asset, Tiger Global",Seed,95000,2021-05-02,2021,5,Other,Seed/Angel,Mumbai
SmartCare,E-commerce,Quick Commerce,Gurugram,"Kedaara Capital, Y Combinator",Angel,18000,2022-11-30,2022,11,Ecommerce/D2C,Seed/Angel,Delhi/NCR
WorkFit,Mobility,Ride Sharing,Chennai,Info Edge,Seed,217000,2023-03-08,2023,3,EV/Cleantech,Seed/Angel,Chennai
LogiSense,Logistics,Supply Chain,Chennai,SoftBank Vision Fund,Series B,27576000,2024-02-15,2024,2,Logistics,Series B,Chennai
SkillFlow,EdTech,K12,Ahmedabad,Info Edge,Seed,521000,2020-08-04,2020,8,Edtech,Seed/Angel,Ahmedabad
HyperLabs,Mobility,EV,Gurugram,IFC,Series A,1131000,2022-08-06,2022,8,EV/Cleantech,Series A,Delhi/NCR
Bounce,HealthTech,Pharmacy,Ahmedabad,Nexus Venture Partners,Pre-Seed,47000,2024-09-07,2024,9,Healthtech,Seed/Angel,Ahmedabad
LogiMart,FoodTech,Grocery,Bengaluru,Sequoia Capital India,Series B,28352000,2021-06-16,2021,6,Foodtech,Series B,Bengaluru
CoreConnect,Mobility,Micro Mobility,Noida,Bessemer Venture Partners,Seed,320000,2022-08-04,2022,8,EV/Cleantech,Seed/Angel,Delhi/NCR
FinSense,FinTech,Lending,Delhi,Prosus Ventures,Seed,1178000,2022-03-31,2022,3,Fintech,Seed/Angel,Delhi/NCR
WorkFit,Logistics,Last Mile,Bengaluru,"Info Edge, LCatterton, Nexus Venture Partners",Debt,5995000,2021-02-08,2021,2,Logistics,Debt,Bengaluru
FreshBox,Consumer Electronics,Audio,Delhi,"Kalaari Capital, Prosus Ventures, Sequoia Capital India",Angel,8000,2022-06-06,2022,6,Other,Seed/Angel,Delhi/NCR
NoBroker,SaaS,DevTools,Delhi,Sequoia Capital India,Seed,65000,2022-07-02,2022,7,SaaS/Enterprise,Seed/Angel,Delhi/NCR
HomeMart,Consumer Electronics,Wearables,Noida,Y Combinator,Series A,5696000,2020-06-28,2020,6,Other,Series A,Delhi/NCR
QuantumDrive,Retail,Fashion,Gurugram,"Bessemer Venture Partners, Tiger Global Management",Series B,5381000,2024-06-30,2024,6,Ecommerce/D2C,Series B,Delhi/NCR
